CO_COMARCA,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30,x31,x32,x33,x34,x35,x36,x37,x38,x39,x40,x41,x42,x43,x44,x45,x46,x47,x48,x49,x50,x51,x52,x53,x54,x55,x56,x57,x58,x59,x60,x61,x62,x63,x64,x65,x66,x67,x68,x69,x70,x71,x72,x73,x74,x75,x76
101,0.36535215406910865,0.051690438358129975,0.008700901599306664,0.0019900400686572914,0.0006512145280525447,0.00026814554630419715,0.00012212325861401337,5.771205807617981e-5,2.7788282097626534e-5,1.350508148388563e-5,6.610221757730865e-6,3.2512474679126795e-6,1.6141906626355019e-6,8.084326048640132e-7,4.092231853051679e-7,2.0954464875696365e-7,1.093154731313822e-7,5.823737058710203e-8,3.1835832132041174e-8,1.7918930070761222e-8,1.046393220224321e-8,6.349821863335383e-9,4.009656880785514e-9,2.6299948948113515e-9,1.7915346339209567e-9,1.2612597537867257e-9,9.138833866130162e-10,6.782153723353558e-10,5.14435676452939e-10,3.9721675818940074e-10,3.113786167597797e-10,2.4709799426798607e-10,1.9837751524705906e-10,1.6075995050955965e-10,1.313187997118378e-10,1.079425155035921e-10,8.928799584637159e-11,7.421717965353573e-11,6.194324445546256e-11,5.185202843255984e-11,4.3550944752418784e-11,3.6666422131560443e-11,3.093157882771722e-11,2.6124833765221028e-11,2.210535417077296e-11,1.8725382040353427e-11,1.5876897596447977e-11,1.346584264502386e-11,1.1433391117032658e-11,9.712519663593452e-12,8.254284905474198e-12,7.014125956822112e-12,5.9647336143151726e-12,5.0734739133130556e-12,4.316141843610959e-12,3.6707751332578905e-12,3.123664678536544e-12,2.658411835805688e-12,2.26259533343432e-12,1.924959437840834e-12,1.6385428288953286e-12,1.3947580202432652e-12,1.18726675632786e-12,1.0102689587962151e-12,8.600528020698239e-13,7.321387274683178e-13,6.232260751872963e-13,5.303023256247317e-13,4.514667249310741e-13,3.84310844643313e-13,3.2714507052171364e-13,2.783785796699125e-13,2.3692189645336417e-13,2.01722213994702e-13,1.7165321903943218e-13,1.461606503796072e-13
102,0.009351511565263346,0.0031705387340616865,0.0010182109046537999,0.00039781270239124146,0.00017500476631466467,8.118491828180465e-5,3.8608091541350414e-5,1.8570664282268624e-5,9.030537013412986e-6,4.423799366872987e-6,2.182780030666894e-6,1.0834915515220233e-6,5.438549127856769e-7,2.760559701951591e-7,1.420704949137787e-7,7.424553522534898e-8,3.969339365654411e-8,2.1761945692182085e-8,1.2286047821954093e-8,7.157733845751156e-9,4.326042590212607e-9,2.7103893382732536e-9,1.7588479254958319e-9,1.1783594058185866e-9,8.143746956928778e-10,5.780166212993027e-10,4.199866269111725e-10,3.112524198917593e-10,2.3506962284465077e-10,1.803823547778948e-10,1.4038096183700118e-10,1.1055134512293919e-10,8.808502320698033e-11,7.087025609136434e-11,5.750826124911863e-11,4.698810330655852e-11,3.86618215582524e-11,3.198722769081578e-11,2.6590163238409637e-11,2.2181586892068346e-11,1.8575925395138348e-11,1.5600643946615314e-11,1.313309586830732e-11,1.1072673302349468e-11,9.355277478808915e-12,7.915073758618936e-12,6.704145475004827e-12,5.681197873029439e-12,4.820255796973287e-12,4.092334738194815e-12,3.47617699504215e-12,2.952702987209232e-12,2.5100733407216653e-12,2.1344034630279164e-12,1.8153688828503929e-12,1.5436308180001578e-12,1.3133489903895306e-12,1.117570037358157e-12,9.510652224011376e-13,8.090692371602003e-13,6.886287877509049e-13,5.861411337542038e-13,4.989233917160936e-13,4.245165043981107e-13,3.6137551532177525e-13,3.076212546063047e-13,2.6186159236921525e-13,2.2281628146360445e-13,1.89678792823487e-13,1.6146553353288123e-13,1.3745080101479432e-13,1.1695490656110455e-13,9.955025284491777e-14,8.474715944584014e-14,7.21279655349248e-14,6.140347936373024e-14
103,0.0057161420516068095,0.001568683183658128,0.0004974948996136617,0.00019666125600682497,8.706454239544474e-5,4.05147530064029e-5,1.9309759101318985e-5,9.310439658104408e-6,4.5418434506551005e-6,2.2347257452905777e-6,1.1094131443141996e-6,5.553499318452175e-7,2.819438346504238e-7,1.4529340450788065e-7,7.626317916424226e-8,4.0869391744873404e-8,2.253548664567331e-8,1.2816934616002441e-8,7.544602277474872e-9,4.600074028250573e-9,2.914207798156413e-9,1.9131612007146162e-9,1.2982484257284852e-9,9.067982975400134e-10,6.509506865596659e-10,4.781761619605309e-10,3.583811211236225e-10,2.7314713407258396e-10,2.115604464818423e-10,1.6607638139108694e-10,1.3191677624014816e-10,1.0580789521008868e-10,8.568641302957798e-11,6.993555269235553e-11,5.7466085970374797e-11,4.74692084007583e-11,3.942598194049364e-11,3.288264358485759e-11,2.7522062776170746e-11,2.3092600817466054e-11,1.9433362917841052e-11,1.638766795414124e-11,1.3842947648739108e-11,1.1704627187370764e-11,9.912749558435291e-12,8.403309918074763e-12,7.129366985664419e-12,6.049776960203233e-12,5.1387596819053724e-12,4.366808237331856e-12,3.712186096186056e-12,3.155189500378993e-12,2.683621220497192e-12,2.282973431656895e-12,1.9424333324922233e-12,1.6521700383006115e-12,1.4060437405357398e-12,1.1966920243068953e-12,1.0185716137979717e-12,8.666190014776285e-13,7.376976027542636e-13,6.279677639449348e-13,5.345692578634567e-13,4.548770318038837e-13,3.872418724259346e-13,3.296553335911261e-13,2.8062883647351725e-13,2.3879310590035505e-13,2.0328533133959397e-13,1.7305201043113483e-13,1.473168533903247e-13,1.253520132875855e-13,1.0669908435664656e-13,9.083433552422962e-14,7.730938990364918e-14,6.581536184786664e-14
104,0.17410498879469494,0.009496698775098752,0.0018961080310039076,0.0007054272454631912,0.0003104449518366634,0.00014461361844923272,6.90959719842663e-5,3.3416523029694384e-5,1.6356585944037584e-5,8.078161667295917e-6,4.027074609446762e-6,2.0252528309178564e-6,1.0334570255926344e-6,5.355044076310933e-7,2.826740676787542e-7,1.5229966743313013e-7,8.434426517854506e-8,4.808698685783693e-8,2.829193433221472e-8,1.7175066498439752e-8,1.078521396162622e-8,6.985770056943096e-9,4.656425508904559e-9,3.1822016221108373e-9,2.2282123984008697e-9,1.59293341877645e-9,1.1602007690625834e-9,8.587272073434928e-10,6.460193472298868e-10,4.929456937687593e-10,3.8109374835882955e-10,2.9799084476568694e-10,2.3574871178284076e-10,1.883781805214042e-10,1.5188334385111097e-10,1.2337166445355524e-10,1.0097848464977595e-10,8.315889927780713e-11,6.884873536392117e-11,5.723286546525261e-11,4.778634825426639e-11,4.003043099767946e-11,3.362618796884495e-11,2.8299087538859202e-11,2.3873413281070043e-11,2.0172434723247633e-11,1.7068030879183883e-11,1.4450690299304837e-11,1.2251783729173119e-11,1.039507557406046e-11,8.825483952333447e-12,7.493141572506225e-12,6.367658098330083e-12,5.413040461750658e-12,4.60277265410219e-12,3.912932093480921e-12,3.328599702546447e-12,2.83204021214453e-12,2.4098004421560372e-12,2.0497865095370854e-12,1.7445084737299637e-12,1.4847368498107158e-12,1.2636956394006164e-12,1.0752104457307123e-12,9.152723317459672e-13,7.790920420433178e-13,6.631421780673098e-13,5.642255503350103e-13,4.803498083818721e-13,4.0887612072085646e-13,3.4803067638145914e-13,2.961587106335434e-13,2.5202444455597624e-13,2.145984566705387e-13,1.8258850550708274e-13,1.5548704426110428e-13
105,0.021470380032437276,0.005520207010942337,0.0016547264532030413,0.0006439960534684046,0.00028543978036032146,0.00013365366836868477,6.424518131769586e-5,3.1307628364170535e-5,1.5474045769004087e-5,7.738394910309489e-6,3.91981305930738e-6,2.011639571857569e-6,1.0526080375167563e-6,5.623131616823729e-7,3.0768737661903246e-7,1.7270735895417863e-7,9.999427627321656e-8,5.969838656015037e-8,3.675313256899378e-8,2.3278526717795897e-8,1.5175902750284498e-8,1.014503761372582e-8,6.9364978152058436e-9,4.834774039993493e-9,3.4352109759749482e-9,2.481665584097954e-9,1.8205847544812857e-9,1.3539230942891415e-9,1.0215223051565518e-9,7.807285402683521e-10,6.040049264718335e-10,4.723437049320583e-10,3.73581602754136e-10,2.9836673307167894e-10,2.404158753811313e-10,1.9515664550847878e-10,1.5963003775139188e-10,1.3137950951642306e-10,1.0871011799471581e-10,9.032327947278117e-11,7.538134837316238e-11,6.31219870061227e-11,5.300570281015586e-11,4.4595493671985745e-11,3.761191268476855e-11,3.17744150238155e-11,2.687971995890605e-11,2.275449743606892e-11,1.9289439079073285e-11,1.636458303790538e-11,1.3892249760725831e-11,1.1794241553766315e-11,1.0021981256858372e-11,8.519041884135296e-12,7.243546626796445e-12,6.157756293850062e-12,5.2380507114304675e-12,4.456456051053748e-12,3.791946864985455e-12,3.2254070587137916e-12,2.7449831502052305e-12,2.336247584141037e-12,1.9884673794496477e-12,1.691814674891447e-12,1.4401061127312008e-12,1.2258365200263568e-12,1.0434472633819688e-12,8.878324671130834e-13,7.557746739084454e-13,6.433420840057024e-13,5.476452195591743e-13,4.659767286043979e-13,3.966226279685392e-13,3.376436951476344e-13,2.873603049369444e-13,2.446342594828631e-13
106,0.007607291568690598,0.0020968614851933497,0.0006113570088599312,0.00023241463819954783,0.00010220450690088326,4.783476485281808e-5,2.306659807954289e-5,1.1304977533982904e-5,5.632950892551535e-6,2.847445552930101e-6,1.4624455684221077e-6,7.636741303376041e-7,4.0810381280897477e-7,2.2347641939088545e-7,1.2575262846373603e-7,7.276343015221107e-8,4.3468601885065606e-8,2.6765018092247894e-8,1.6964256101616555e-8,1.1032593768932835e-8,7.360966453501507e-9,5.019826074576575e-9,3.4910181076215065e-9,2.468891905035651e-9,1.7762907419574696e-9,1.2974090313268763e-9,9.612075215897253e-10,7.212744856671512e-10,5.487045895862913e-10,4.2258482528163653e-10,3.2925804751591645e-10,2.5918373196666843e-10,2.0622578924540953e-10,1.6560565796206136e-10,1.3409552411083484e-10,1.0932744047318267e-10,8.976815009640731e-11,7.412818747926633e-11,6.151439468175182e-11,5.123678702717145e-11,4.2850846949317426e-11,3.5945935624268926e-11,3.0230405580733054e-11,2.5466034938462062e-11,2.1500764237903776e-11,1.8179770805919223e-11,1.539054718789487e-11,1.303653444123006e-11,1.1056918625530282e-11,9.384300011677212e-12,7.969303815229608e-12,6.767736185142141e-12,5.75215197303619e-12,4.8904986470945384e-12,4.15895876265473e-12,3.536020978272329e-12,3.008227613600403e-12,2.559590946540314e-12,2.1780934689563543e-12,1.8527916859585586e-12,1.5769009715667467e-12,1.3421555590806594e-12,1.142400935040074e-12,9.719981151744945e-13,8.274038680689902e-13,7.043116584322267e-13,5.995306736954376e-13,5.101273267634689e-13,4.3425387242672523e-13,3.6965674327846787e-13,3.1467378883018854e-13,2.6774864869017517e-13,2.279015169868396e-13,1.9401097344743728e-13,1.6512096896282903e-13,1.4056858045950184e-13
201,0.005919859606397439,0.001735282589029596,0.0007218912907399157,0.00038901911602183515,0.00023512192657131598,0.000150480835314475,9.947735329670614e-5,6.701065389130834e-5,4.579181139235333e-5,3.159212868787763e-5,2.195912635564738e-5,1.5345366026112976e-5,1.07961700258723e-5,7.638070504927135e-6,5.4344306962102365e-6,3.886013782108446e-6,2.7990343723881926e-6,2.029939117287408e-6,1.4831044148290557e-6,1.0913544739120666e-6,8.106517830082686e-7,6.076054693559656e-7,4.5972403593426936e-7,3.509602514504037e-7,2.707620079294001e-7,2.1092599924071188e-7,1.6587538566144415e-7,1.315537777176111e-7,1.0529735579546923e-7,8.49523115331726e-8,6.903662015123123e-8,5.6439688235485636e-8,4.6436184338050914e-8,3.8401724596884246e-8,3.189942937724725e-8,2.6587421852077856e-8,2.224465362137888e-8,1.8663837792738614e-8,1.569699985422765e-8,1.3222342751871344e-8,1.1162048945022326e-8,9.436244034009213e-9,7.986793682527468e-9,6.763670109380781e-9,5.735219138817301e-9,4.866511758551784e-9,4.131747371642508e-9,3.508011642985269e-9,2.9809606039212602e-9,2.5339004071933155e-9,2.154484852689813e-9,1.8314590707377345e-9,1.5578536738852435e-9,1.325321770881087e-9,1.1276319431884135e-9,9.591042134913946e-10,8.161908074585908e-10,6.94625459925151e-10,5.911957927078161e-10,5.029636707674104e-10,4.2810785235347243e-10,3.643997753095749e-10,3.101775189881995e-10,2.6391580176321035e-10,2.2465678938952667e-10,1.9123398670802655e-10,1.6278208644475742e-10,1.3850483879702468e-10,1.1790155506868026e-10,1.0036059425291237e-10,8.543030506790227e-11,7.268851884216608e-11,6.186921507357324e-11,5.266694679597569e-11,4.4823524346638565e-11,3.8157056958485196e-11
202,0.014173378465766098,0.005900544956995269,0.002753222507640408,0.0015318779047916945,0.0009335803423502284,0.0005966312907939889,0.0003917617984587944,0.00026120631201582116,0.00017620002975103332,0.00011971538714870761,8.176250050057449e-5,5.600701269285163e-5,3.852831856293853e-5,2.6577073051726343e-5,1.8377888694564228e-5,1.272444901085235e-5,8.838527593300896e-6,6.152970461782201e-6,4.293251545658139e-6,2.9999884815320325e-6,2.1038753237802226e-6,1.4796911950562505e-6,1.0440214366481629e-6,7.385675490616507e-7,5.250810084370983e-7,3.749924742352855e-7,2.691669758735654e-7,1.9413498695026192e-7,1.4103398255322782e-7,1.0317557822060042e-7,7.605796039095326e-8,5.6486338811110494e-8,4.235565065842262e-8,3.205349592041392e-8,2.44884788251408e-8,1.8876548109175852e-8,1.470142446375993e-8,1.1557525099344612e-8,9.1681365116586e-9,7.3304514296145136e-9,5.911316940917402e-9,4.801547171146997e-9,3.9256912063613695e-9,3.226672931119012e-9,2.6672331448869326e-9,2.214713254040161e-9,1.8461233184105126e-9,1.5432701156627578e-9,1.2944357105881472e-9,1.088342868146366e-9,9.169509322740801e-10,7.735154112251645e-10,6.537742683677301e-10,5.532388356401646e-10,4.686341931045178e-10,3.97124188398703e-10,3.369143597760007e-10,2.8600296020903055e-10,2.4290091806784735e-10,2.0628373676250765e-10,1.7532504349365376e-10,1.4905196117025298e-10,1.2674396523117237e-10,1.0774901955422139e-10,9.165602312981193e-11,7.797390676846998e-11,6.633993957508496e-11,5.642264468513931e-11,4.801282577698863e-11,4.085771434894109e-11,3.477099694980149e-11,2.9578778889731534e-11,2.5171543944380222e-11,2.142450359005316e-11,1.8231247081272586e-11,1.551823000636684e-11
203,0.13933394558028592,0.004146003211508403,0.0008506105560804737,0.00043566812476371754,0.0002627374216214251,0.00016890249448526292,0.0001124956095940803,7.648911320861123e-5,5.281561522469376e-5,3.6846463479192985e-5,2.5912632634670448e-5,1.8330057818553133e-5,1.3059124650452346e-5,9.359854268164486e-6,6.749505545103483e-6,4.894078734445508e-6,3.5760953305885995e-6,2.6321579934460403e-6,1.9525438698373066e-6,1.4593106512325956e-6,1.101108525123438e-6,8.383797049215985e-7,6.442693462392343e-7,4.993869860937466e-7,3.909399930776113e-7,3.087930316915189e-7,2.460020361748653e-7,1.9744535678030652e-7,1.5975544032811002e-7,1.3014228901871783e-7,1.0667024157549696e-7,8.786419339511466e-8,7.276160622150876e-8,6.050844390729122e-8,5.050206712038018e-8,4.226199980221662e-8,3.547845684445877e-8,2.985146714042752e-8,2.516529487458765e-8,2.123939225414591e-8,1.7958784532466582e-8,1.520227342405054e-8,1.2881148442526431e-8,1.0918261245255211e-8,9.264841104451348e-9,7.866182370115972e-9,6.6817476713975235e-9,5.675258206125959e-9,4.824141160215703e-9,4.1016734400738254e-9,3.4882370311497957e-9,2.96569516376509e-9,2.52298556357001e-9,2.1466128721975476e-9,1.8265527399077093e-9,1.5536490350529845e-9,1.3221999881929359e-9,1.1253179493248241e-9,9.577799078886862e-10,8.14846629119077e-10,6.935829317005828e-10,5.903627764580205e-10,5.025075916833416e-10,4.2756935540635917e-10,3.6397217709527585e-10,3.098207825020979e-10,2.637132249356052e-10,2.2437383638332295e-10,1.9101087987973746e-10,1.6258684795055256e-10,1.3838908605128238e-10,1.177573190002095e-10,1.0021079075155951e-10,8.532119717222319e-11,7.259805930918045e-11,6.181495807150016e-11
204,0.18632625181918472,0.010124258853921951,0.002407585125786259,0.0012370275361544836,0.0007495969336114723,0.0004814562252438259,0.0003188537556756579,0.00021478914976822132,0.00014650831415140219,0.00010070292060427834,6.959917301453546e-5,4.825584218565749e-5,3.3605594639904226e-5,2.3472630878274638e-5,1.6440243590704426e-5,1.1534821681501602e-5,8.123511869298946e-6,5.73803198446696e-6,4.066166161596244e-6,2.8890760919873408e-6,2.0629106426295132e-6,1.4796391999160704e-6,1.0666583537313616e-6,7.72629431961713e-7,5.636829792958799e-7,4.141049759107416e-7,3.0652895013238387e-7,2.285748320597392e-7,1.720667213535289e-7,1.3070592460499333e-7,1.0021534932611271e-7,7.750994522643952e-8,6.05542433440715e-8,4.774030778587381e-8,3.7967872584472644e-8,3.04270926889801e-8,2.4585940592346462e-8,2.0005164599162892e-8,1.6380623642527104e-8,1.3481096881995264e-8,1.115580898868589e-8,9.271515565875638e-9,7.734302673552897e-9,6.4696159001082616e-9,5.429252103863898e-9,4.566828790439823e-9,3.848977022655342e-9,3.2478276434721574e-9,2.7457296624302148e-9,2.3239193587121956e-9,1.9688828696378096e-9,1.66864964987415e-9,1.4158392340457071e-9,1.2020019467699521e-9,1.0209286238521482e-9,8.670800016727868e-10,7.369853697215183e-10,6.265927607871036e-10,5.328435742956568e-10,4.5299769469219535e-10,3.8535346222268774e-10,3.2784087297601963e-10,2.78937165616685e-10,2.3725807761481265e-10,2.019102196558987e-10,1.7182833112891754e-10,1.4622670753874197e-10,1.2439275986591153e-10,1.0588145699074224e-10,9.011433029219248e-11,7.669528922232323e-11,6.525543408248669e-11,5.5527511451156945e-11,4.7274772696544706e-11,4.022205847336041e-11,3.424710935866281e-11
