"","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"1102",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"1103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"1105",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"1201",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"1202",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"1203",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"1204",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"1205",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"1206",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1207",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"1301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1403",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"1404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1501",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1502",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1605",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"1606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1607",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1702",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1710",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1715",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1719",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1720",0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1724",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"1728",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1731",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"1734",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"1801",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"1802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1803",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1805",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1806",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1808",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"1809",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1810",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"1901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2001",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"2002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2004",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"2005",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"2007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"2101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"2105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"2201",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"2202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"2204",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"2205",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"2206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2207",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"2208",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"2301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2304",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"2305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2306",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"2307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2408",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2409",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2410",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2503",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2504",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"2505",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"2510",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2514",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2515",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2518",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"2523",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"2525",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
"2526",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"2527",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"2532",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"2533",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"2535",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"2538",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"2539",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2601",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"2602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"2604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2605",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2606",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2801",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2802",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"2803",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"2804",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2805",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"2806",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"2901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
"2902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"2903",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"2904",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"3001",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"3002",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
"3003",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"3004",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3005",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"3006",0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"3101",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"3102",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3104",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"3106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"3201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3301",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3302",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3303",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3304",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3305",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3306",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3308",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3310",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3402",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3403",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3405",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3406",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3407",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3601",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3602",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"3603",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3604",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3701",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3702",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3703",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3704",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3705",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3706",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3707",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3708",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3902",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3903",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3904",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3905",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3906",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4002",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4102",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"4103",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
"4104",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"4105",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"4106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4107",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4201",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4203",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4204",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4205",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4206",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4207",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4301",0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4308",0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4309",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"4312",0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4316",0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
"4322",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"4329",0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
"4330",0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
"4336",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4337",0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
"4401",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4402",0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
"4403",0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
