CO_COMARCA,out
3304,3.9842352830691227e-8
3305,1.2773124226406781e-8
3306,1.335603143626994e-7
3307,7.436435381401953e-8
3308,4.370254957315612e-8
3309,2.0912259709676574e-7
3310,1.5118128460934098e-7
3401,1.2847368414808774e-6
3402,6.780573021150813e-7
3403,3.441441561595909e-7
3404,4.547146030932194e-7
3405,2.080186077617669e-7
3406,2.2670171643626997e-7
3407,3.726293396954191e-7
3601,1.4583701982422528e-9
3602,2.297388577259182e-9
3603,1.586293400661225e-9
3604,1.8464191322821861e-9
3701,5.275190383313442e-8
3702,1.1932941024430392e-7
3703,2.1842048395693574e-7
3704,3.207611254871619e-7
3705,8.673289184982206e-8
3706,1.8875671725186713e-7
3707,4.143893080575262e-8
3708,1.2498971172207202e-7
3901,2.2029184395515614e-6
3902,1.6007434380255753e-7
3903,3.783992724060874e-7
3904,9.641725755911851e-7
3905,1.7683177840402017e-6
3906,4.961236428669762e-7
4001,1.490279516286224e-6
4002,3.1993711705200923e-6
4003,2.2154179449789137e-6
4101,3.0387807113404426e-8
4102,5.213896310146967e-8
4103,2.379940609004088e-8
4104,1.6094086568405145e-8
4105,3.4002327689885794e-8
4106,2.4628904261718127e-8
4107,5.29014837192836e-8
4201,7.711723634022749e-6
4202,1.3689751087310367e-5
4203,6.742288891637505e-6
4204,1.321002769297493e-5
4205,2.939805047336914e-5
4206,1.5919100723569037e-5
4207,2.0619634525316113e-5
4301,0.023235886548634125
4308,0.014187714772721464
4309,0.004236748532656525
4312,0.07024323281942624
4316,0.012686441571491132
4322,0.0032223721392455103
4329,0.007581977313032305
4330,0.0058689857853674214
4336,0.03130096545611936
4337,0.003753260418058798
4401,9.564013397147046e-5
4402,0.0002173409990765642
4403,0.0009227547441889997
4404,3.90467973710077e-5
4405,8.763780258683544e-5
4406,0.00015127832556384254
4501,7.816008254280292e-7
4502,2.6757627437461e-6
4503,5.045268528101555e-6
4504,5.427425462124067e-7
4505,9.317003086322862e-7
4506,1.963059915305729e-6
4507,6.005504784622382e-6
4601,6.488299955162702e-5
4602,0.0001235915006760968
4603,0.00022273623026485185
4604,5.2658707041199585e-5
4605,0.00012885669301615087
4606,0.0004471385905445402
4607,0.0005822553158322405
4608,0.00021454870546603892
4609,0.00023826248618059062
4610,3.91013286782403e-5
4611,5.574383636187602e-5
4612,7.43286682105143e-5
4613,7.629909663527302e-5
4701,4.21346713083683e-7
4702,8.929345651984188e-7
4703,6.211081020589624e-7
4704,1.347120915331269e-6
4801,6.430972806437973e-6
4802,1.1652379608946102e-5
4803,1.0116652108537648e-5
4804,3.660148749421176e-6
4805,1.327924661667276e-5
4806,1.2105900559773032e-5
4807,1.1080063976248003e-5
4901,2.6791070324223844e-8
4902,1.4475601504251084e-7
4903,8.919862494381741e-8
4904,2.486688441631429e-7
4905,1.0384983898626672e-7
4906,2.62701198470241e-7
5001,0.00019226169634879186
5002,0.00012145911017838194
5003,8.4609580731101e-5
5004,0.0002393102605415147
5005,0.0006300766462365517
5006,0.00012973294819367058
5007,0.002245800160194648
