"","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"101",3.34792312603815e-07,3.12882881337541e-06,8.46638038789148e-06,1.77023648367598e-05,3.26223142489329e-05,5.57394519589698e-05,9.03952124717479e-05,0.000141165176473126,0.000213522596857724,0.000314937821379864,0.000454701996238501,0.000644984240135907,0.000898985875252003,0.00123437399743124,0.00167176417606371,0.00223731322897277,0.00295664478789952,0.00386447383312851,0.00499937309956794
"102",3.85849247849501e-07,3.5216463916154e-06,9.3493688787854e-06,1.92426492073402e-05,3.49884404365885e-05,5.90856363797895e-05,9.48255165053894e-05,0.000146683052504049,0.000219941892871692,0.000321776588981556,0.000461016977125922,0.000649139350787486,0.000898373260968204,0.00122501438301827,0.00164782050554351,0.00219040817871982,0.00287532240158946,0.00373316259423762,0.00479742706866034
"103",2.88374593276742e-07,2.6700346258984e-06,7.16251526943564e-06,1.48555560153196e-05,2.7169521235875e-05,4.60901246322824e-05,7.42342094295901e-05,0.000115159377706621,0.000173068708815165,0.00025366505969263,0.000363964935633837,0.000513081098264841,0.000710717365775616,0.000969788110834455,0.00130513838038529,0.00173543309205336,0.00227844119684054,0.0029582595555729,0.00380121040849052
"104",6.00732367142792e-07,5.37551106596275e-06,1.4036892037884e-05,2.84852108397071e-05,5.11593106349278e-05,8.5445981617817e-05,0.00013576029827161,0.000208057607084915,0.000309265417112582,0.000448733024205253,0.000637822100208427,0.000891159391968503,0.00122398293392018,0.00165647828279186,0.00221145919178886,0.00291734042253728,0.00380025812162485,0.00489576736115508,0.00624191500232341
"105",7.46378802958733e-07,6.65233873232943e-06,1.73013389552149e-05,3.49702237280803e-05,6.25609961844133e-05,0.000104086539084487,0.000164747679895442,0.000251525558133087,0.000372469332479406,0.000538395705771838,0.000762341654684245,0.00106097967092962,0.00145141075009941,0.00195618082235426,0.00260042564320039,0.00341518509383729,0.00442817627133975,0.00567715613164434,0.00720175377540356
"106",7.54279238515617e-07,6.77799984134826e-06,1.77341299587456e-05,3.60048157606425e-05,6.46284018922004e-05,0.000107803480426167,0.000170970574893852,0.000261428195856113,0.000387587645758203,0.000560739879998511,0.000794477609242297,0.00110615979709459,0.00151354718954273,0.00204001482087753,0.0027115419088001,0.00356012742792562,0.00461413753111661,0.00591217542112366,0.00749451718143761
"201",5.09124350694438e-07,5.20091404946023e-06,1.50607798727837e-05,3.32511885375544e-05,6.41316056316996e-05,0.000114005816069819,0.00019154906732339,0.000308970419434353,0.000481538537857241,0.000730524376498427,0.00108333887808351,0.00157683333741876,0.00225321619130879,0.00316979126011931,0.0043960524056373,0.00602198693020747,0.00814142904703984,0.0108803204739415,0.0143820338713695
"202",1.99350457333543e-06,1.93712403291653e-05,5.40594139942944e-05,0.00011595402617411,0.000218422973917703,0.000380571862752719,0.000628301407428946,0.000997625963075299,0.00153270528225166,0.0022944410579328,0.00335996093063772,0.00483145265420949,0.0068225718453649,0.00948554385951708,0.0129997433724592,0.0175919705699491,0.0234850983548541,0.0309721922353564,0.0403672403622272
"203",2.37179183727873e-07,2.51387669861095e-06,7.49445996726077e-06,1.69532131619981e-05,3.33960065055516e-05,6.05061175429888e-05,0.000103449352003961,0.000169610720969056,0.000268442875525394,0.000413283237607946,0.000621656776197719,0.000917492627644137,0.00132899659645795,0.00189490224782036,0.00266328352809417,0.00369740070844241,0.00506581334163413,0.00686117937138865,0.00919196801904811
"204",7.97884135016263e-07,8.08132440334111e-06,2.3291401895545e-05,5.12921295685692e-05,9.88073139496141e-05,0.00017558563552762,0.000295080003437277,0.000476269977586,0.000742969283868518,0.0011284170095949,0.0016755535350551,0.00244219957708271,0.0034947547132267,0.0049233310136674,0.00683717402762169,0.00937738979716685,0.012690444977276,0.0169714470963532,0.0224397952998121
"205",1.43286264859084e-06,1.41577516880596e-05,4.0150997254585e-05,8.74525691072714e-05,0.000167158558967449,0.000295360965513871,0.000494255876228116,0.000795155249389139,0.00123731363332245,0.00187551453469074,0.00278045963566252,0.0040472307424302,0.00578469432973682,0.00814017696226964,0.011291314779042,0.0154660317995509,0.0208974662833592,0.0278927644795277,0.0367895484241396
"206",1.90126443727667e-07,2.05669729038265e-06,6.23515585605021e-06,1.4309962123294e-05,2.85542603492184e-05,5.23461483053616e-05,9.0481405001776e-05,0.000149885665738973,0.000239550666544524,0.000372265986385629,0.000565033161117969,0.000841280645333272,0.00122907224279254,0.00176719536723073,0.00250438640685049,0.00350530665056336,0.00484135545365736,0.00660929684962271,0.00892375598386336
"207",5.37396573336348e-07,5.59582943902944e-06,1.65023082240106e-05,3.70684823287183e-05,7.26764962917707e-05,0.000131242896423447,0.000223874596560209,0.000366457266803358,0.000579328356355152,0.000891189185330696,0.00133974408134578,0.00197644204010706,0.00286183053006332,0.00407887142379915,0.00573012303916465,0.00794983054948689,0.0108819212080077,0.014719091044444,0.0196830144284391
"301",1.56407904410856e-06,1.51853598371305e-05,4.26659349327348e-05,9.25272772378134e-05,0.000176633392334609,0.00031232157456467,0.000523699040933112,0.000845019727550072,0.00131966062066658,0.00200853997557988,0.0029909774381228,0.00437441530635084,0.00628346591758171,0.00888760531013244,0.0123931771643651,0.0170665013963886,0.0231840653651503,0.0311098471716493,0.0412464311909666
"302",3.21309127782339e-06,2.90816837104718e-05,7.73753194964681e-05,0.000160692929310978,0.000296134506957737,0.000508372456825918,0.000831123109462836,0.00131167545019586,0.0020086379868137,0.00300355922273084,0.0044008613960143,0.00634021942016931,0.00897954624044899,0.0125317033388013,0.0172504782865725,0.0234585254754301,0.0314777725786509,0.0417281486733565,0.0546577295180969
"303",7.12717232897798e-06,6.03541486808086e-05,0.000151911639323539,0.000301232718193352,0.000533931952551294,0.000886519318810278,0.00140792561778688,0.00216583024390942,0.00324199707855355,0.00474914362659887,0.00682883807594116,0.009667836153019,0.013470879306299,0.0185116489697947,0.0251086652260663,0.0336605171763415,0.0445461720356962,0.0582568632884248,0.0752950224290803
"304",3.91201021160075e-06,3.56354985854266e-05,9.54402677821234e-05,0.000199509106316738,0.000370010116614967,0.000639117438409581,0.00105111251986757,0.00166845405112854,0.00256922489895331,0.0038625021494664,0.0056888526574607,0.00823710025584974,0.0117225113342778,0.0164355018579326,0.0227235183331221,0.0310279554525239,0.0417896926655396,0.0555783261694927,0.0729938995067066
